ID,Category,Control,Description,ExpectedResult,Owner,Evidence,RiskLevel,Status,LastVerified,TestRef
REC-001,Byte Identity,Identity is SHA-256 of exact file bytes,The identity of a Canonical Record file is the SHA-256 of its exact bytes including the final LF. No parsing or re-serialization is involved.,Any byte change yields a different digest,Maintainer,hash.log;pytest.xml,Critical,Implemented,,tests/test_hash.py::test_identity_is_sha256_of_exact_bytes;tests/test_numeric_identity.py::test_numeric_lexemes_have_distinct_identity
REC-002,Encoding,UTF-8 without BOM,Record bytes must be valid UTF-8 and must not start with a byte order mark.,Reject with INVALID_UTF8 or BOM_PRESENT,Maintainer,audit.log;pytest.xml,High,Implemented,,tests/test_format.py::test_invalid_utf8_rejected;tests/test_format.py::test_bom_rejected;tests/test_negative.py::test_negative_fixture_reason
REC-003,Termination,Exactly one final LF,The top-level value must be followed by exactly one LF (0x0A) and nothing else.,Reject with MISSING_FINAL_LF or TRAILING_DATA,Maintainer,audit.log;pytest.xml,High,Implemented,,tests/test_format.py::test_final_lf_rules;tests/test_negative.py::test_negative_fixture_reason
REC-004,Whitespace,Compact form,No whitespace outside string literals; whitespace inside strings is data.,Reject with NON_CANONICAL_WHITESPACE,Maintainer,audit.log;pytest.xml,High,Implemented,,tests/test_format.py::test_whitespace_outside_strings_rejected;tests/test_format.py::test_leading_whitespace_rejected;tests/test_format.py::test_whitespace_inside_strings_allowed
REC-005,Syntax,Strict JSON without duplicate keys,The file is exactly one RFC 8259 JSON value; no object has a repeated member name at any depth.,Reject with INVALID_JSON or DUPLICATE_KEY,Maintainer,audit.log;pytest.xml,High,Implemented,,tests/test_format.py::test_invalid_json_rejected;tests/test_format.py::test_duplicate_key_nested_detected;tests/test_negative.py::test_negative_fixture_reason
REC-006,Structure,Top-level key set and order,"Top-level members are exactly intent, event, observe, meta, invariant in that order.","Reject with INVARIANT_REMOVED, MISSING_REQUIRED_FIELD, UNEXPECTED_FIELD or FIELD_ORDER_VIOLATION",Maintainer,audit.log;pytest.xml,High,Implemented,,tests/test_format.py::test_top_level_order_enforced;tests/test_format.py::test_missing_fields;tests/test_format.py::test_no_extra_top_level_fields
REC-007,Structure,F.1 structural schema conformance,Records validate against the unmodified F.1 schemas/canonical-record.schema.json.,Reject with TYPE_MISMATCH,Maintainer,audit.log;pytest.xml,High,Implemented,,tests/test_format.py::test_type_mismatch_uses_f1_schema;tests/test_f1_boundary.py::test_f1_file_unchanged
REC-008,Numeric Identity,Numeric lexical form is identity,"1, 1.0 and 1e0 are distinct records; numbers are never normalized.",Distinct digests; NUMERIC_REPRESENTATION_CHANGE versus baseline,Maintainer,audit.log;pytest.xml,Critical,Implemented,,tests/test_numeric_identity.py::test_numeric_lexemes_have_distinct_identity;tests/test_numeric_identity.py::test_numeric_representation_change_detected
REC-009,Structure,No hash or version fields inside v1 records,"record_hash, contract_version, schema_version and record_version are not allowed in v1 records.",Reject with UNEXPECTED_FIELD,Maintainer,audit.log;pytest.xml,Medium,Implemented,,tests/test_format.py::test_no_extra_top_level_fields;tests/test_negative.py::test_negative_fixture_reason
REC-010,Runtime Isolation,Audit is read-only,Verification and replay read bytes only; they never write to or rewrite record or sidecar files.,Fixture bytes and mtimes unchanged after a full audit run,Maintainer,audit.log;pytest.xml,Critical,Implemented,,tests/test_replay.py::test_audit_does_not_modify_inputs;tests/test_replay.py::test_replay_never_reserializes
REC-011,Precedence,Deterministic primary reason,"When several reasons apply, the one with the lowest precedence number in spec/rejection-reasons.json is reported.",Same input always yields the same code,Maintainer,pytest.xml,Medium,Implemented,,tests/test_format.py::test_precedence_first_failing_check_wins;tests/test_format.py::test_format_check_order_matches_registry;tests/test_fixture_metadata.py::test_registry_precedence_contiguous_and_unique
