ID,Control,Level,Expected,Python,Rust,Node,Go,Evidence
X-01,Schema validation,L0,Same accept/reject result against the F.1 record schema,PASS,Not implemented,Not implemented,Not implemented,tests/test_format.py::test_type_mismatch_uses_f1_schema;tests/test_positive.py::test_success_fixtures_accepted
X-02,Required field rejection,L1,Same rejection code (MISSING_REQUIRED_FIELD),PASS,Not implemented,Not implemented,Not implemented,tests/test_format.py::test_missing_fields;tests/test_negative.py::test_negative_fixture_reason
X-03,Numeric representation,L1,Same rejection code (NUMERIC_REPRESENTATION_CHANGE),PASS,Not implemented,Not implemented,Not implemented,tests/test_numeric_identity.py::test_numeric_representation_change_detected;tests/test_vectors.py::test_vector_comparisons
X-04,Invariant modification,L1,Same rejection code (INVARIANT_TYPE_CHANGED / INVARIANT_VALUE_CHANGED / INVARIANT_REMOVED),PASS,Not implemented,Not implemented,Not implemented,tests/test_negative.py::test_negative_fixture_reason;tests/test_vectors.py::test_vector_comparisons
X-05,Duplicate key,L1,Same rejection code (DUPLICATE_KEY),PASS,Not implemented,Not implemented,Not implemented,tests/test_format.py::test_duplicate_key_nested_detected;tests/test_vectors.py::test_record_vector_classification
X-06,Hash computation,L3,Same SHA-256 of the stored bytes,PASS,Not implemented,Not implemented,Not implemented,tests/test_hash.py::test_identity_is_sha256_of_exact_bytes;tests/test_generators.py::test_vectors_match_implementation
X-07,Replay,L2,Same bytes (stored bytes compared; never regenerated),PASS,Not implemented,Not implemented,Not implemented,tests/test_replay.py::test_replay_byte_and_hash_equality;tests/test_replay.py::test_replay_never_reserializes
X-08,Unicode preservation,L3,Same SHA-256 (UTF-8 bytes preserved; escapes are distinct identities),PASS,Not implemented,Not implemented,Not implemented,tests/test_numeric_identity.py::test_kansoku_bytes_and_escape_identity;tests/test_vectors.py::test_unicode_escape_changes_identity
X-09,Array order,L3,Same SHA-256 (order preserved; reordering is a distinct identity),PASS,Not implemented,Not implemented,Not implemented,tests/test_vectors.py::test_array_order_changes_identity
X-10,Shared vector set,L3,Same outputs (sha256 / accept / reason / comparison) for every vector in fixtures/vectors/vectors.json,PASS,Not implemented,Not implemented,Not implemented,tests/test_generators.py::test_vectors_match_implementation;tests/test_vectors.py::test_record_vector_classification;tests/test_vectors.py::test_vector_comparisons
